from_code,edge_type,to_code,required,strength
MATH.G1.NUM.COUNT_WITHIN_10,PREREQUISITE_OF,MATH.G1.NUM.COMPARE_WITHIN_10,true,0.85
MATH.G1.NUM.COUNT_WITHIN_10,PREREQUISITE_OF,MATH.G1.NUM.DECOMP_WITHIN_10,true,0.85
MATH.G1.NUM.DECOMP_WITHIN_10,PREREQUISITE_OF,MATH.G1.NUM.COMPOSITION_10,true,0.85
MATH.G1.NUM.COMPOSITION_10,PREREQUISITE_OF,MATH.G1.ADD.WITHIN_20_CARRY,true,0.85
MATH.G1.NUM.DECOMP_WITHIN_10,PREREQUISITE_OF,MATH.G1.SUB.TAKE_AWAY_MEANING,true,0.85
MATH.G1.SUB.TAKE_AWAY_MEANING,PREREQUISITE_OF,MATH.G1.SUB.WITHIN_10,true,0.85
MATH.G1.ADD.WITHIN_10,PREREQUISITE_OF,MATH.G1.ADD.WITHIN_20_NO_CARRY,true,0.85
MATH.G1.SUB.WITHIN_10,PREREQUISITE_OF,MATH.G1.SUB.WITHIN_20_NO_BORROW,true,0.85
MATH.G1.ADD.WITHIN_20_NO_CARRY,PREREQUISITE_OF,MATH.G1.ADD.WITHIN_20_CARRY,true,0.85
MATH.G1.SUB.WITHIN_20_NO_BORROW,PREREQUISITE_OF,MATH.G1.SUB.WITHIN_20_BORROW,true,0.85
MATH.G1.ADD.WITHIN_10,PREREQUISITE_OF,MATH.G1.WORD.ADD_SUB_ONE_STEP,true,0.85
MATH.G1.SUB.WITHIN_10,PREREQUISITE_OF,MATH.G1.WORD.ADD_SUB_ONE_STEP,true,0.85
MATH.G1.ADD.WITHIN_20_CARRY,PREREQUISITE_OF,MATH.G2.NUM.WITHIN_100,true,0.85
MATH.G1.SUB.WITHIN_20_BORROW,PREREQUISITE_OF,MATH.G2.NUM.WITHIN_100,true,0.85
MATH.G2.NUM.WITHIN_100,PREREQUISITE_OF,MATH.G2.ADD.WITHIN_100,true,0.85
MATH.G2.NUM.WITHIN_100,PREREQUISITE_OF,MATH.G2.SUB.WITHIN_100,true,0.85
MATH.G2.ADD.WITHIN_100,PREREQUISITE_OF,MATH.G2.MUL.MEANING,true,0.85
MATH.G2.MUL.MEANING,PREREQUISITE_OF,MATH.G2.MUL.TABLE_2_9,true,0.85
MATH.G2.MUL.TABLE_2_9,PREREQUISITE_OF,MATH.G2.MUL.ONE_DIGIT,true,0.85
MATH.G2.MUL.TABLE_2_9,PREREQUISITE_OF,MATH.G2.DIV.TABLE_RELATION,true,0.85
MATH.G2.DIV.MEANING,PREREQUISITE_OF,MATH.G2.DIV.SIMPLE,true,0.85
MATH.G2.DIV.TABLE_RELATION,PREREQUISITE_OF,MATH.G2.DIV.SIMPLE,true,0.85
MATH.G2.MUL.ONE_DIGIT,PREREQUISITE_OF,MATH.G2.MUL.TWO_DIGIT,true,0.85
MATH.G2.MUL.TWO_DIGIT,PREREQUISITE_OF,MATH.G2.WORD.MUL_DIV_ONE_STEP,true,0.85
MATH.G2.DIV.SIMPLE,PREREQUISITE_OF,MATH.G2.WORD.MUL_DIV_ONE_STEP,true,0.85
MATH.G2.NUM.WITHIN_100,PREREQUISITE_OF,MATH.G3.NUM.WITHIN_10000,true,0.85
MATH.G3.NUM.WITHIN_10000,PREREQUISITE_OF,MATH.G3.ADD.SUB_MULTI_DIGIT,true,0.85
MATH.G2.MUL.TWO_DIGIT,PREREQUISITE_OF,MATH.G3.MUL.MULTI_DIGIT,true,0.85
MATH.G2.DIV.SIMPLE,PREREQUISITE_OF,MATH.G3.DIV.MULTI_DIGIT,true,0.85
MATH.G3.FRA.UNIT_FRACTION,PREREQUISITE_OF,MATH.G3.FRA.COMPARE_SAME_DEN,true,0.85
MATH.G3.FRA.COMPARE_SAME_DEN,PREREQUISITE_OF,MATH.G3.FRA.ADD_SAME_DEN,true,0.85
MATH.G1.GEO.RECOGNIZE_SHAPES,PREREQUISITE_OF,MATH.G3.GEO.PERIMETER,true,0.85
MATH.G3.GEO.PERIMETER,PREREQUISITE_OF,MATH.G3.GEO.AREA_INTRO,true,0.85
MATH.G2.WORD.MUL_DIV_ONE_STEP,PREREQUISITE_OF,MATH.G3.WORD.TWO_STEP,true,0.85
MATH.G1.SUB.TAKE_AWAY_MEANING,HAS_MISCONCEPTION,MATH.G1.MIS.ADD_INSTEAD_OF_SUB,true,0.8
